season,week,posteam,qb_actual,primary_qb,attempts,category,notes
2025,4,MIN,C.Wentz,J.McCarthy,53,injury,"McCarthy still out, Wentz starting"
2025,4,NO,S.Rattler,T.Shough,30,controversy,Rattler continuing
2025,5,ARI,K.Murray,J.Brissett,34,returning,Murray continuing
2025,5,BAL,C.Rush,L.Jackson,21,injury,"Jackson injured, Rush started"
2025,5,CIN,J.Browning,J.Burrow,42,injury,Burrow still out
2025,5,CLE,D.Gabriel,S.Sanders,35,injury,"Flacco injured, Gabriel started"
2025,5,MIN,C.Wentz,J.McCarthy,37,injury,McCarthy still out
2025,5,NO,S.Rattler,T.Shough,31,controversy,Rattler continuing
2025,5,SF,M.Jones,B.Purdy,50,injury,Purdy still out
2025,5,WAS,J.Daniels,M.Mariota,27,returning,Daniels continuing
2025,6,BAL,T.Huntley,L.Jackson,19,injury,"Jackson still out, Huntley started"
2025,6,CIN,J.Flacco,J.Burrow,47,returning,Flacco signed to start while Burrow still out
2025,6,CLE,D.Gabriel,S.Sanders,58,injury,Gabriel continuing
2025,6,NO,S.Rattler,T.Shough,28,controversy,Rattler continuing
2025,6,SF,M.Jones,B.Purdy,45,injury,Purdy still out
2025,6,WAS,J.Daniels,M.Mariota,29,returning,Daniels continuing
2025,7,CIN,J.Flacco,J.Burrow,49,returning,Flacco continuing
2025,7,CLE,D.Gabriel,S.Sanders,20,injury,Gabriel continuing
2025,7,MIN,C.Wentz,J.McCarthy,44,injury,McCarthy still out
2025,7,NO,S.Rattler,T.Shough,36,controversy,Rattler continuing
2025,7,NYJ,T.Taylor,J.Fields,25,controversy,Taylor continuing
2025,7,SF,M.Jones,B.Purdy,27,injury,Purdy still out
2025,7,WAS,J.Daniels,M.Mariota,24,returning,Daniels continuing
2025,8,ATL,K.Cousins,M.Penix,32,returning,Cousins returning from injury; Penix had been starter
2025,8,BAL,T.Huntley,L.Jackson,24,injury,Jackson still out
2025,8,CAR,A.Dalton,B.Young,31,benched,"Young benched again, Dalton started"
2025,8,CIN,J.Flacco,J.Burrow,35,returning,Flacco continuing
2025,8,CLE,D.Gabriel,S.Sanders,37,injury,Gabriel continuing
2025,8,MIN,C.Wentz,J.McCarthy,32,injury,McCarthy still out
2025,8,SF,M.Jones,B.Purdy,35,injury,Purdy still out
2025,9,CIN,J.Flacco,J.Burrow,51,returning,Flacco continuing
2025,9,HOU,D.Mills,C.Stroud,32,injury,"Stroud injured, Mills started"
2025,9,SF,M.Jones,B.Purdy,26,injury,Purdy still out
2025,9,WAS,J.Daniels,M.Mariota,26,returning,"Daniels returning from injury, Mariota had been filling in"
2025,10,CLE,D.Gabriel,S.Sanders,38,injury,Gabriel continuing
2025,10,HOU,D.Mills,C.Stroud,49,injury,"Stroud still out, Mills starting"
2025,10,SF,M.Jones,B.Purdy,40,injury,Purdy still out
2025,11,CIN,J.Flacco,J.Burrow,41,returning,Flacco continuing
2025,11,HOU,D.Mills,C.Stroud,45,injury,Stroud still out
2025,11,NYG,J.Winston,J.Dart,31,returning,Winston signed to start while Dart injured
2025,12,ATL,K.Cousins,M.Penix,26,returning,Cousins continuing
2025,12,CIN,J.Flacco,J.Burrow,38,returning,Flacco continuing
2025,12,HOU,D.Mills,C.Stroud,30,injury,Stroud still out
2025,12,NYG,J.Winston,J.Dart,37,returning,Winston continuing
2025,12,NYJ,T.Taylor,J.Fields,31,controversy,Taylor continuing
2025,12,PIT,M.Rudolph,A.Rodgers,33,injury,"Rodgers injured, Rudolph started"
2025,13,ATL,K.Cousins,M.Penix,35,returning,Cousins continuing
2025,13,MIN,M.Brosmer,J.McCarthy,34,injury,"McCarthy injured again, Brosmer started"
2025,13,NYJ,T.Taylor,J.Fields,35,controversy,Taylor continuing
2025,14,ATL,K.Cousins,M.Penix,31,returning,Cousins continuing
2025,14,IND,R.Leonard,D.Jones,31,injury,"Jones injured, Leonard started"
2025,14,NYJ,B.Cook,J.Fields,36,injury,"Fields injured, Cook started"
2025,14,WAS,J.Daniels,M.Mariota,21,injury,"Daniels injured, Mariota started"
2025,15,ATL,K.Cousins,M.Penix,47,returning,Cousins continuing
2025,15,IND,P.Rivers,D.Jones,28,injury,"Jones still out, Rivers/Leonard starting"
2025,15,LV,K.Pickett,G.Smith,29,controversy,Smith new starter; Pickett filled in
2025,15,NYJ,B.Cook,J.Fields,36,injury,"Fields still out, Cook starting"
2025,16,ATL,K.Cousins,M.Penix,36,returning,Cousins continuing
2025,16,BAL,T.Huntley,L.Jackson,11,rest,"Jackson rested, Huntley started"
2025,16,GB,M.Willis,J.Love,13,rest,"Love rested, Willis started"
2025,16,IND,P.Rivers,D.Jones,37,injury,Jones still out
2025,16,KC,C.Oladokun,P.Mahomes,20,rest,"Mahomes rested, Oladokun started"
2025,16,MIA,Q.Ewers,T.Tagovailoa,30,injury,"Tua injured, Ewers started"
2025,16,NYJ,B.Cook,J.Fields,43,injury,Fields still out
2025,17,ATL,K.Cousins,M.Penix,20,returning,Cousins continuing
2025,17,BAL,T.Huntley,L.Jackson,21,rest,Jackson resting
2025,17,GB,M.Willis,J.Love,22,rest,Love still resting
2025,17,IND,P.Rivers,D.Jones,32,injury,"Jones still out, Rivers/Leonard starting"
2025,17,KC,C.Oladokun,P.Mahomes,23,rest,Mahomes resting again
2025,17,MIA,Q.Ewers,T.Tagovailoa,24,injury,Tua still out
2025,17,MIN,M.Brosmer,J.McCarthy,23,injury,McCarthy still out
2025,17,NYJ,B.Cook,J.Fields,34,injury,Fields still out
2025,17,WAS,J.Johnson,M.Mariota,24,injury,Daniels still out late season
2025,18,ATL,K.Cousins,M.Penix,36,rest,Season finale
2025,18,BUF,M.Trubisky,J.Allen,31,rest,Season finale
2025,18,DAL,J.Milton,D.Prescott,13,rest,Season finale
2025,18,GB,C.Tune,J.Love,15,rest,Season finale
2025,18,IND,R.Leonard,D.Jones,35,rest,Season finale
2025,18,KC,C.Oladokun,P.Mahomes,20,rest,Season finale
2025,18,LAC,T.Lance,J.Herbert,48,rest,Season finale
2025,18,LV,A.O'Connell,G.Smith,23,rest,Season finale
2025,18,MIA,Q.Ewers,T.Tagovailoa,27,rest,Season finale
2025,18,NYJ,B.Cook,J.Fields,24,rest,Season finale
2025,18,PHI,T.McKee,J.Hurts,43,rest,Season finale
2025,18,TEN,B.Allen,C.Ward,31,rest,Season finale
2025,18,WAS,J.Johnson,M.Mariota,22,rest,Season finale
